,Unnamed: 0,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries,disaster
13807,71013,2017-12-06-014489,"between 80 and 90 percent of coal reserves worldwide will need to remain in the ground, if climate targets are to be reached. This compares with approximately 35 percent for oil reserves and 50 percent for gas reserves.",None,,2017-12-06 00:00:00,2,"['http://feeds.foxnews.com/~r/foxnews/politics/~3/tDSLpcwntg8/post-trump-un-climate-pact-supporters-switch-to-state-and-local-strategy.html'
 'http://www.foxnews.com/politics/2017/12/06/post-trump-un-climate-pact-supporters-switch-to-state-and-local-strategy.html']",E,0.8078,['US'],1
9911,104354,2014-05-06-013093,Effects of The Masako Maneuver on Velopharyngeal Closure,None,,2014-05-06 19:46:00,1,['http://www.valdosta.edu/about/news/releases/2014/05/vsu-holds-sixth-annual-graduate-symposium.php'],D,0.468,['US'],1
9506,9574,2014-11-14-063901,Retreat for Progress in Bosnia,None,,2014-11-14 16:30:38,3,"['http://feeds.reuters.com/~r/Reuters/worldNews/~3/JH5As1jHO4g/story01.htm'
 'http://news.yahoo.com/eu-must-set-reform-agenda-bosnia-think-tank-163038115.html'
 'http://todayonline.com/world/eu-must-set-reform-agenda-bosnia-think-tank']",E,0.8361,['CH' 'US'],1
11248,86314,2015-12-04-100063,"There are not many investigations that get as high a priority as the investigation into the murders in Duma village,",Gilad Erdan,Q2663804,2015-12-04 08:43:38,18,"['http://af.reuters.com/article/worldNews/idAFKBN0TN0NI20151204'
 'http://feeds.reuters.com/~r/Reuters/worldNews/~3/NpZ_7ZUW6xo/story01.htm'
 'http://www.channelnewsasia.com/news/world/israel-says-it-lacks-evid/2319210.html?cid=cna_flip_070214'
 'http://www.thestar.com.my/news/world/2015/12/04/israel-says-it-lacks-evidence-to-try-suspects-in-palestinian-home-arson/'
 'http://uk.reuters.com/article/2015/12/04/uk-israel-palestinans-arson-idUKKBN0TN0NI20151204'
 'http://www.jpost.com/Israel-News/Public-Security-Minister-Erdan-Evidence-still-being-gathered-to-indict-suspects-in-Duma-arson-436312'
 'http://cms.trust.org/item/20151204084143-l5ltx'
 'http://feeds.reuters.com/~r/Reuters/UKTopNews/~3/e7784_bwVkY/story01.htm'
 'http://www.reuters.com/article/2015/12/04/us-israel-palestinans-arson-idUSKBN0TN0NM20151204'
 'http://au.news.yahoo.com/world/a/30278563/israel-says-it-lacks-evidence-to-try-suspects-in-palestinian-home-arson/'
 'http://trust.org/item/20151204084143-l5ltx'
 'http://forward.com/news/breaking-news/326058/israel-says-it-lacks-evidence-to-try-suspects-in-fatal-palestinian-home-ars/'
 'http://cms.trust.org/item/20151204121828-2y5lc'
 'http://www.thestar.com.my/news/world/2015/12/04/israel-says-suspects-arrested-over-fatal-torching-of-palestinian-home/'
 'http://www.reuters.com/article/us-israel-palestinans-arson-idUSKBN0TN0NM20151204'
 'https://in.news.yahoo.com/israel-says-too-early-try-suspects-over-arson-123705950.html'
 'http://www.timesofoman.com/article/72936/World/Middle-East/Israel-still-trying-to-gather-evidence-against-far-right-Jews-arrested-for-lethal-arson-attack-on-Palestinian-home-in-West-Bank'
 'http://jamestownsun.com/news/nation-and-world/3896420-israel-says-too-early-try-suspects-over-torching-palestinian-home']",E,0.9531,['MY' 'IS' 'MU' 'US'],1
8031,125855,2013-11-10-051170,"You don't want to go into the war if you don't have to. But I had to go. I enjoyed it after I'd went and come back, but I didn't enjoy it when was over there. I had to do things I didn't want to do.",Richard Overton,Q7328212,2013-11-10 09:41:09,16,"['http://www.usatoday.com/story/news/nation/2013/11/10/richard-overton-world-war-ii-vet-obama/3489473/'
 'http://delmarvanow.com/usatoday/article/3489473'
 'http://livingstondaily.com/usatoday/article/3489473'
 'http://lancastereaglegazette.com/usatoday/article/3489473'
 'http://marionstar.com/usatoday/article/3489473'
 'http://theleafchronicle.com/usatoday/article/3489473'
 'http://newarkadvocate.com/usatoday/article/3489473'
 'http://jconline.com/usatoday/article/3489473'
 'http://coloradoan.com/usatoday/article/3489473'
 'http://uinterview.com/news/richard-overton-oldest-living-wwii-vet-at-107-meets-president-obama-on-veteranrsquos-day-9496'
 'http://wltx.com/news/watercooler/article/255426/363/Oldest-Living-WWII-Vet-107-to-Meet-With-Obama'
 'http://ksdk.com/story/news/2013/11/11/richard-overton-world-war-ii-vet-obama/3493719/'
 'http://www.firstcoastnews.com/news/news-article.aspx?storyid=334725'
 'http://www.forbes.com/sites/rebeccaruiz/2013/11/11/6-veterans-day-stories-to-read-and-watch/'
 'http://www.webpronews.com/oldest-veteran-honored-by-president-obama-2013-11'
 'http://feeds.washingtonpost.com/c/34656/f/636635/s/4060e2a9/sc/14/l/0L0Swashingtonpost0N0Cnational0Cmeet0Eamericas0Eoldest0Eliving0Evet0Ehe0Esmokes0Ecigars0Edoes0Eyard0Ework0Edrives0Eand0Edrinks0Ewhisky0Eand0Ehes0E10A80C20A140C110C110C8297223b0Eb41b0E431c0Ebcd40E2f0A6b71772880Istory0Bhtml0Dwprss0Frss0Inational/story01.htm']",D,0.4578,['US'],1
2404,220903,2010-02-23-027692,"i don't know that there was one specific incident that did it. he's been having some clicking feeling, sound in his hip, and it's been bothering him a little while,",roy williams,Multiple,2010-02-23 14:17:36,1,['http://wralsportsfan.com/unc/story/7098837/'],A,0.8316,['US'],1
2242,23894,2010-07-16-073756,the heyday of that great symbolic form of parisian revolution that is the barricade,eric hazan,Q288193,2010-07-16 07:11:06,1,['http://truthdig.com/arts_culture/item/ruth_scurr_on_paris_20100715/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Truthdig+Truthdig%3A+Drilling+Beneath+the+Headlines'],B,0.5752,['US'],1
16254,118230,2018-05-01-151027,we're back afte the storm and we're looking forward to the future.,Craig Cates,Q17155872,2018-05-01 00:00:00,1,['http://wlrn.org/post/sign-recovery-key-west-sign-welcomed-back-after-irma'],E,0.955,['US'],1
11467,5002,2015-03-29-042162,"There is that sense of putting one foot out there, and anything can happen. I'm doing a performance tonight, here in Los Angeles, of a show John Malkovich and I devised called A Celebration Of Harold Pinter. Hundreds of people turn up and sometimes, it can be like being on the Mittellegi Ridge on the Eiger, where I found myself 14 months ago.",Julian Sands,Q363518,2015-03-29 03:50:57,1,['http://express.co.uk/life-style/life/566753/Gotham-Julian-Sands-interview'],E,0.8932,['UK'],1
14812,97897,2017-10-23-101549,"That's part of the reason the Air Force is looking at these other authorities to bring people back in because we've been hemorrhaging pilots,",Mac Thornberry,Q539444,2017-10-23 19:46:35,6,"['http://www.springfieldnewssun.com/news/house-defense-leader-wright-patt-says-pilot-shortage-growing/UyTsCnDlCRtGCXw3pPqNRN/'
 'http://www.journal-news.com/news/house-defense-leader-wright-patt-says-pilot-shortage-growing/UyTsCnDlCRtGCXw3pPqNRN/'
 'http://www.mydaytondailynews.com/news/house-defense-leader-wright-patt-says-pilot-shortage-growing/UyTsCnDlCRtGCXw3pPqNRN/'
 'http://www.whio.com/news/kettering-council-vote-first-phase-business-park-plan/lwOvTspp8SLbO6ur9goRLL/'
 'http://daytondailynews.com/news/house-defense-leader-wright-patt-says-pilot-shortage-growing/UyTsCnDlCRtGCXw3pPqNRN/'
 'http://www.whio.com/news/house-defense-leader-wright-patt-says-pilot-shortage-growing/UyTsCnDlCRtGCXw3pPqNRN/']",E,0.7108,['US'],1
1964,8838,2009-07-17-051385,"one of the takeaways i have from this paper is it seems like the economic impacts of increased temperature in poor countries are going to be very severe,",william easterly,Q952278,2009-07-17 07:48:53,2,"['http://npr.org/templates/story/story.php?storyId=106697286&ft=1&f=3'
 'http://npr.org/templates/story/story.php?storyId=106697286&ft=1&f=1006']",A,0.5638,['US'],1
17427,86852,2018-07-11-080638,"The DeWine-Husted Administration will need to keep extended Medicaid coverage for adults,",Mike DeWine,Q1363468,2018-07-11 18:16:12,2,"['http://abc6onyourside.com/news/local/dewine-will-keep-medicaid-expansion-democrats-call-it-a-flip-flop'
 'http://www.politifact.com/ohio/statements/2018/jul/20/mike-dewine/ohio-republican-mike-dewine-changed-medicaid/']",E,0.7644,['US'],1
7473,75439,2013-03-04-012913,"he told us that his life was being threatened,",shane todd,Q26210779,2013-03-04 14:27:30,1,['http://foxnews.com/world/2013/03/04/singapore-reportedly-seeks-fbi-help-in-us-engineer-death/'],C,0.5817,['US'],1
2361,144603,2010-07-16-075735,"the only control [ he ] could wield in prison was whether he saw his lawyers, and if he would let them represent him. interrogations and daily routines were non-negotiable. even hunger strikes were unsuccessful due to guantánamo's policy of force-feeding striking detainees.",omar khadr,Q302466,2010-07-16 12:53:55,1,['http://eurasiareview.com/201007165144/defiance-in-isolation-the-last-stand-of-omar-khadr.html'],B,0.3263,['US'],1
11168,24538,2015-03-01-035233,"Rio is undergoing much transformation. We are undertaking many works which will culminate in great progress for the city-though we know many improvements are still needed,",None,,2015-03-01 23:56:43,2,"['http://www.nst.com.my/node/74685'
 'http://www.gmanetwork.com/news/story/445089/lifestyle/peopleandevents/rio-de-janeiro-s-450th-birthday-bash-is-a-piece-of-cake']",E,0.5496,['MY' 'RP'],1
18364,46644,2019-09-25-111858,"We don't know what is the reason behind their disappearance. Their involvement in this crime cannot be ruled out,",None,,2019-09-25 07:40:26,1,['http://www.mid-day.com/articles/govandi-murder-family-of-student-accused-of-teachers-murder-disappears/21795003'],E,0.7857,['IN'],1
11516,116837,2015-01-02-055991,"While, six were spotted in Dramphel, a couple is also roosting in Nasphel,",Sonam Jamtsho,Q5827869,2015-01-02 07:26:46,1,['http://www.kuenselonline.com/more-black-necked-cranes-in-bumthang/'],E,0.3456,['BT'],1
17353,107260,2018-12-05-063317,It's a ground war trying to gain ground in the Western Conference. It's extremely difficult.,Rick Carlisle,Q339256,2018-12-05 01:40:00,1,['https://sportsday.dallasnews.com/dallas-mavericks/mavericks/2018/12/04/western-conference-competition-crazy-season-long-battle-royal-playoff-spots-looms?f=r'],E,0.9023,['US'],1
5274,155890,2011-08-11-001591,a witness also told the fire brigade she saw someone running off down the street.,rod smith,Multiple,2011-08-11 14:00:00,1,['http://dailyadvertiser.com.au/news/local/news/general/tompson-street-car-burst-into-flames/2256422.aspx?src=rss'],C,0.6992,['AS'],1
709,118520,2009-11-20-053794,it is not unreasonable to recoup not only the direct fiscal costs of bail-outs but even some of the wider fiscal costs of the crisis.,martin wolf,Multiple,2009-11-20 22:24:39,1,['http://huffingtonpost.com/georges-ugeux/demonizing-goldman-leaves_b_365663.html'],A,0.5086,['US'],1
4165,47196,2011-05-25-083550,"we've obviously had a difficult football season. we want to make sure we address the small minority who have shamed our national game and disgraced our nation around the globe,",kenny macaskill,Q983174,2011-05-25 11:48:13,1,['http://uk.news.yahoo.com/scotland-crackdown-sectarian-football-violence-103146781.html'],C,0.3712,['US'],1
13015,160482,2016-05-23-016722,"Each and every time, and whether you call it Levant or ISIS or Al Qaeda... If you were to do any type of history on this, you'll find that they do what they say they're going to do. We would do well to listen.",None,,2016-05-23 11:45:20,1,['http://www.victoriaadvocate.com/news/2016/may/22/will-a-wall-stop-illegal-immigration/?mostcommented'],E,0.7944,['US'],1
264,110744,2008-12-08-056719,"we must stand together when any kind of attack or weakening of the country takes place. unfortunately, the opposition mounted a very negative campaign about terrorism.",john pomfret,Q10396901,2008-12-08 18:07:12,2,"['http://washingtonpost.com/wp-dyn/content/article/2008/12/08/AR2008120801904.html?wprss=rss_world%2Fasia'
 'http://washingtonpost.com/wp-dyn/content/article/2008/12/08/AR2008120801904.html?wprss=rss_world']",A,0.7246,['US'],1
9472,72804,2014-02-20-014697,"due to the recent escalation of violence, the EU will today discuss sanctions,",Angela Merkel,Q567,2014-02-20 14:08:54,1,['http://www.sbs.com.au/news/article/2014/02/21/merkel-urges-yanukovych-accept-eu-help'],D,0.4075,['AS'],1
18194,103470,2018-12-06-088503,Russia's objective is to disrupt the stability of the Ukrainian state and throw into question the very legitimacy of democracy in the eyes of Ukrainian citizens.,Chrystia Freeland,Q4492815,2018-12-06 00:00:00,52,"['https://www.airdrieecho.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.cochranetimes.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.delhinewsrecord.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.devondispatch.ca/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.edmontonexaminer.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.fairviewpost.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.fortmcmurraytoday.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.fortsaskatchewanrecord.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.gananoquereporter.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.hannaherald.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.highrivertimes.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.hintonparklander.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.intelligencer.ca/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.lacombeglobe.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.leducrep.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.mayerthorpefreelancer.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.mitchelladvocate.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.nantonnews.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.nipawinjournal.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.nugget.ca/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.owensoundsuntimes.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.pinchercreekecho.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.recorder.ca/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.saultstar.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.seaforthhuronexpositor.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.sherwoodparknews.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.shorelinebeacon.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.sprucegroveexaminer.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.standard-freeholder.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.stratfordbeaconherald.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.strathroyagedispatch.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.stthomastimesjournal.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.thechronicle-online.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.thelondoner.ca/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.theobserver.ca/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.thepost.on.ca/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.thesudburystar.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.thewhig.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.tillsonburgnews.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.timminspress.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.timminstimes.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.vulcanadvocate.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.wallaceburgcourierpress.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.whitecourtstar.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://www.woodstocksentinelreview.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://windsorstar.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://calgaryherald.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/68e03aa5-6f15-4204-9d28-7385a21f17de'
 'https://edmontonjournal.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://leaderpost.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea'
 'https://nationalpost.com/news/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/'
 'https://news.nationalpost.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine'
 'https://thestarphoenix.com/news/politics/canada-targets-russian-disinformation-as-part-of-24-million-support-package-to-bolster-democracy-in-ukraine/wcm/5401d033-add0-4eec-bbc2-3e3730d001ea']",E,0.7508,['CA'],1
16841,79545,2018-04-24-066912,"It is sad that we are still talking about being Ethiopian and multi-ethnic state. Since the ruling party holds an autocratic grip on democracy and freedom, giving way to radical elements, the country has found itself in a very precarious situation,",None,,2018-04-24 09:48:01,1,['http://allafrica.com/stories/201804240395.html'],E,0.7706,['NI'],1
